Produck SKU,Zat Aktif,Bentuk
3085939,Dextromethorphan,Tablet/15mg
3085938,Dextromethorphan,Tablet/3.5mg
1398813,Ephedrin HCL,"Sirup/2,5mg"
2284891,Ephedrin HCL,"Sirup/2,5mg"
1502884,Ephedrin HCL,"Sirup/2,5mg"
2877517,Ephedrin HCL,"Sirup/2,5mg"
110885,Ephedrin HCL,"Sirup/2,5mg"
3093439,Ephedrin HCL,"Sirup/2,5mg"
110537,Phenylpropanolamine HCL,Tablet/15mg
3085912,Phenylpropanolamine HCL,Tablet/15mg
110617,Phenylpropanolamine HCL,Tablet/30mg
1280926,Phenylpropanolamine HCL,Tablet/15mg
3085918,Phenylpropanolamine HCL,Tablet/15mg
1398822,Pseudoefedrin HCL,"Sirup/7,5mg"
2839465,Pseudoefedrin HCL,"Sirup/7,5mg"
2107571,Pseudoefedrin HCL,Sirup/15mg
2546788,Pseudoefedrin HCL,Sirup/15mg
2839563,Pseudoefedrin HCL,Sirup/15mg
1282671,Pseudoefedrin HCL,Tablet/60mg
1741326,Pseudoefedrin HCL,Kapsul/120mg
1584757,Pseudoefedrin HCL,Sirup/30mg
2107553,Pseudoefedrin HCL,Sirup/15mg
569293,Pseudoefedrin HCL,"Sirup/7,5mg"
221463,Pseudoefedrin HCL,Tablet/30mg
1565076,Pseudoefedrin HCL,Tablet/30mg
2004834,Pseudoefedrin HCL,Tablet/30mg
110573,Pseudoefedrin HCL,Tablet/30mg
110368,Pseudoefedrin HCL,Tablet/30mg
1283035,Pseudoefedrin HCL,Sirup/15mg
1502893,Pseudoefedrin HCL,"Sirup/7,5mg"
2107606,Pseudoefedrin HCL,Sirup/15mg
1584712,Pseudoefedrin HCL,Sirup/30mg
1919215,Pseudoefedrin HCL,"Sirup/7,5mg"
1282956,Pseudoefedrin HCL,Tablet/30mg
1506435,Pseudoefedrin HCL,Tablet/120mg
2407467,Pseudoefedrin HCL,Tablet/30mg
3028039,Pseudoefedrin HCL,Tablet/120mg
2464773,Pseudoefedrin HCL,Sirup/15mg
2923508,Pseudoefedrin HCL,"Sirup/7,5mg"
1850534,Pseudoefedrin HCL,Sirup/15mg
1584703,Pseudoefedrin HCL ,Sirup/30mg
3127638,Pseudoephedrine HCl,Sirup/30 mg
3125440,Pseudoephedrine HCl,Sirup/30mg
3025307,Pseudoephedrine HCl,"Syrup/7,5mg"
110751,Phenylpropanolamine HCL,"Tablet/12,5 mg"
3119097,Pseudoephedrine HCL / Triprolidine HCl,Tablet/60 mg
3125568,Pseudoephedrine HCl,"Sirup/7,5 mg"
3127299,Phenylpropanolamine HCl,Kaplet/15 mg
3124935,Pseudoephedrine HCl,Sirup/15 mg
3124886,Pseudoephedrine HCl,"Sirup/7,5 mg"
3119175,Pseudoephedrine HCl,Sirup/15 mg
